title,url,count,href,scraped_at
Premier League Top Goalscorers by Club,https://www.sporcle.com/games/Freddie/goalpremclub,74,/games/Freddie/goalpremclub,2025-10-13 15:49:34
English Football Champions,https://www.sporcle.com/games/JakePFC/champs,74,/games/JakePFC/champs,2025-10-13 15:49:34
Premier League Clubs,https://www.sporcle.com/games/g/premierleague,66,/games/g/premierleague,2025-10-13 15:49:34
'N' Game,https://www.sporcle.com/games/g/ngame,64,/games/g/ngame,2025-10-13 15:49:34
Premier League Nationalities,https://www.sporcle.com/games/sparkle/epl_nations,63,/games/sparkle/epl_nations,2025-10-13 15:49:34
'M' Game,https://www.sporcle.com/games/g/mgame,63,/games/g/mgame,2025-10-13 15:49:34
'E' Game,https://www.sporcle.com/games/g/egame,63,/games/g/egame,2025-10-13 15:49:34
'L' Game,https://www.sporcle.com/games/g/lgame,59,/games/g/lgame,2025-10-13 15:49:34
Premier League Managers (2000-2020),https://www.sporcle.com/games/Resistance/premleaguemanagers,58,/games/Resistance/premleaguemanagers,2025-10-13 15:49:34
Premier League Most Appearances (Career),https://www.sporcle.com/games/Gold26/200prem,53,/games/Gold26/200prem,2025-10-13 15:49:34
